ID;Name;City-State;Latitude ;Longitude
1;NS1 Jurong East;Singapore;1.337.466;103.743.027
2;NS2 Bukit Batok;Singapore;1.348.839;103.749.428
3;ÊNS3 Bukit Gombak;Singapore;1.358.895;103.751.903
4;NS4 Choa Chu Kang;Singapore;1.385.493;103.744.261
5;NS5 Yew Tee;Singapore;1.397.582;103.747.340
6;NS7 Kranji;Singapore;1.425.309;103.762.139
7;ÊNS8 Marsiling;Singapore;1.432.501;103.774.148
8;NS9 Woodlands;Singapore;1.437.073;103.786.484
9;NS10 Admiralty;Singapore;1.440.669;103.800.934
10;NS11 Sembawang;Singapore;1.449.340;103.819.938
11;NS13 Yishun;Singapore;1.429.325;103.835.253
12;NS14 Khatib;Singapore;1.417.377;103.832.934
13;NS15 Yio Chu Kang;Singapore;1.381.905;103.844.850
14;NS16 Ang Mo Kio;Singapore;1.369.984;103.849.653
15;NS17 Bishan;Singapore;1.350.783;103.848.194
16;NS18 Braddell;Singapore;1.340.653;103.846.577
17;NS19 Toa Payoh;Singapore;1.333.270;103.846.674
18;NS20 Novena;Singapore;1.320.074;103.844.123
19;NS21 Newton;Singapore;1.312.580;103.838.117
20;NS22 Orchard;Singapore;1.304.628;103.831.889
21;NS23 Somerset;Singapore;1.300.492;103.838.768
22;NS24 Dhoby Ghaut;Singapore;1.298.527;103.846.128
23;NS25 City Hall;Singapore;1.293.077;103.852.231
24;NS26 Raffles Place;Singapore;1.283.912;103.851.969
25;NS27 Marina Bay;Singapore;1.276.143;103.855.099